Word1,Word2,GloVe Cosine Similarity
alzheimer,clopidogrel,-0.1798951
alzheimer,atorvastatin,-0.07780775
alzheimer,prednisone,-0.11692252
alzheimer,heparin,-0.18038106
alzheimer,ciprofloxacin,-0.049577113
diabetes,diazepam,0.3004625
diabetes,aspirin,0.2749914
diabetes,warfarin,0.32768098
diabetes,insulin,0.56429
diabetes,metformin,0.33337262
diabetes,clopidogrel,0.15038751
diabetes,atorvastatin,0.29832512
diabetes,prednisone,0.29936776
diabetes,heparin,0.18694852
diabetes,ciprofloxacin,0.095351666
hypertension,diazepam,0.23252621
hypertension,aspirin,0.2937717
hypertension,warfarin,0.3404606
hypertension,insulin,0.24998084
hypertension,metformin,0.18483227
hypertension,clopidogrel,0.12497793
hypertension,atorvastatin,0.30909908
hypertension,prednisone,0.29566753
hypertension,heparin,-0.025727518
hypertension,ciprofloxacin,0.05838082
asthma,diazepam,0.36077222
asthma,aspirin,0.17184985
asthma,warfarin,0.25156024
asthma,insulin,0.29411757
asthma,metformin,0.26871786
asthma,clopidogrel,0.10489727
asthma,atorvastatin,0.28199118
asthma,prednisone,0.3111247
asthma,heparin,-0.00025107054
asthma,ciprofloxacin,0.021165669
sepsis,diazepam,0.28525642
sepsis,aspirin,-0.0072683836
sepsis,warfarin,0.2078743
sepsis,insulin,0.13003437
sepsis,metformin,0.091109216
sepsis,clopidogrel,0.096435584
sepsis,atorvastatin,0.12118436
sepsis,prednisone,0.34591818
sepsis,heparin,0.12474189
sepsis,ciprofloxacin,-0.08438751
stroke,diazepam,0.12621899
stroke,aspirin,0.25476918
stroke,warfarin,0.048172567
stroke,insulin,0.34270334
stroke,metformin,0.17384511
stroke,clopidogrel,-0.010127605
stroke,atorvastatin,0.07949454
stroke,prednisone,0.05034101
stroke,heparin,0.2333995
stroke,ciprofloxacin,-0.099912375
anemia,diazepam,0.054131206
anemia,aspirin,0.20585033
anemia,warfarin,0.29183075
anemia,insulin,0.20099346
anemia,metformin,0.15539096
anemia,clopidogrel,0.040955856
anemia,atorvastatin,0.23361887
anemia,prednisone,0.1884072
anemia,heparin,0.07070414
anemia,ciprofloxacin,-0.023415897
schizophrenia,insertion,0.10389431
schizophrenia,stent,-0.021939868
schizophrenia,lumbar,0.13320826
schizophrenia,endoscopy,0.13200931
schizophrenia,intubation,0.24413736
schizophrenia,dialysis,0.20799284
schizophrenia,pacemaker,0.36676
schizophrenia,hysterectomy,0.4467462
schizophrenia,cataract,0.18348676
schizophrenia,bypass,0.07802424
schizophrenia,thoracentesis,0.15575165
schizophrenia,biopsy,0.108104244
schizophrenia,scan,0.012445761
schizophrenia,colonoscopy,0.3128376
cancer,insertion,-0.032079812
cancer,stent,0.2529719
cancer,lumbar,0.054394957
cancer,endoscopy,0.23490344
cancer,intubation,-0.13933574
cancer,dialysis,0.24540229
cancer,pacemaker,0.09827479
cancer,hysterectomy,0.40064144
cancer,cataract,0.13542989
cancer,bypass,0.11792035
cancer,thoracentesis,0.057015315
cancer,biopsy,0.3896017
cancer,scan,0.26708218
cancer,colonoscopy,0.29721093
myocardial,insertion,-0.03630917
myocardial,stent,0.042174138
myocardial,lumbar,0.08583389
myocardial,endoscopy,0.26321033
myocardial,intubation,-0.17941591
myocardial,dialysis,-0.094539605
myocardial,pacemaker,0.13713695
myocardial,hysterectomy,0.066535264
myocardial,cataract,0.0020446286
myocardial,bypass,0.15430556
myocardial,thoracentesis,-0.03357011
myocardial,biopsy,0.118139625
myocardial,scan,0.24037662
myocardial,colonoscopy,0.20591815
heart,insertion,-0.10050931
heart,stent,0.24648927
heart,lumbar,0.1780205
heart,endoscopy,0.20095193
heart,intubation,0.10433354
heart,dialysis,0.23266278
heart,pacemaker,0.3978277
heart,hysterectomy,-0.038117465
heart,cataract,-0.017680235
heart,bypass,0.09733291
heart,thoracentesis,0.035799064
heart,biopsy,0.20394468
heart,scan,0.40967962
heart,colonoscopy,0.32880595
pneumonia,insertion,-0.18065694
pneumonia,stent,0.063612595
pneumonia,lumbar,0.11322921
pneumonia,endoscopy,0.06516782
pneumonia,intubation,0.30797732
pneumonia,dialysis,0.20623182
pneumonia,pacemaker,0.12477805
pneumonia,hysterectomy,-0.024816334
pneumonia,cataract,-0.10465805
pneumonia,bypass,-0.10020776
pneumonia,thoracentesis,0.25342965
pneumonia,biopsy,0.25670317
pneumonia,scan,0.40596315
pneumonia,colonoscopy,0.17142235
alzheimer,insertion,-0.019850528
alzheimer,stent,0.1087275
alzheimer,lumbar,0.23857673
alzheimer,endoscopy,0.0047288476
alzheimer,intubation,-0.104192555
alzheimer,dialysis,0.04694514
alzheimer,pacemaker,0.2456142
alzheimer,hysterectomy,-0.030393966
alzheimer,cataract,0.23108347
alzheimer,bypass,0.032682393
alzheimer,thoracentesis,-0.13119917
alzheimer,biopsy,0.09674103
alzheimer,scan,-0.073156826
alzheimer,colonoscopy,-0.0036053988
diabetes,insertion,-0.1356747
diabetes,stent,0.14119057
diabetes,lumbar,0.1288098
diabetes,endoscopy,0.06108017
diabetes,intubation,0.16769524
diabetes,dialysis,0.37121958
diabetes,pacemaker,0.30165416
diabetes,hysterectomy,0.09516345
diabetes,cataract,0.12972817
diabetes,bypass,0.15328676
diabetes,thoracentesis,-0.02425642
diabetes,biopsy,0.16312331
diabetes,scan,0.07576774
diabetes,colonoscopy,0.2401341
hypertension,insertion,-0.18770473
hypertension,stent,0.1254717
hypertension,lumbar,0.3294364
hypertension,endoscopy,0.0030935754
hypertension,intubation,0.18699059
hypertension,dialysis,0.26023275
hypertension,pacemaker,0.2909128
hypertension,hysterectomy,0.13343889
hypertension,cataract,0.10870801
hypertension,bypass,0.19003715
hypertension,thoracentesis,-0.029863331
hypertension,biopsy,0.17269796
hypertension,scan,0.03074003
hypertension,colonoscopy,0.18550974
asthma,insertion,-0.06218866
asthma,stent,0.19967829
asthma,lumbar,0.2736315
asthma,endoscopy,-0.00021541597
asthma,intubation,0.109526075
asthma,dialysis,0.33991367
asthma,pacemaker,0.34199923
asthma,hysterectomy,0.3277307
asthma,cataract,0.24280694
asthma,bypass,0.21230482
asthma,thoracentesis,-0.038482733
asthma,biopsy,0.098679
asthma,scan,-0.033543933
asthma,colonoscopy,0.17530324
sepsis,insertion,-0.047234237
sepsis,stent,0.20224872
sepsis,lumbar,0.12778834
sepsis,endoscopy,-0.008932048
sepsis,intubation,0.3921593
sepsis,dialysis,0.16714774
